Customer_Ratings1star,Customer_Ratings2star,Customer_Ratings3star,Customer_Ratings4star,Customer_Ratings5star,P_Description,P_MRP,P_Name,P_Price,P_Rating,P_Ratingcount,P_Title,P_Url,Seller_Name,Seller_Url,Technical_Specification,You_Save
9% of reviews have 1 stars,3% of reviews have 2 stars,8% of reviews have 3 stars,24% of reviews have 4 stars,56% of reviews have 5 stars,"Results matter, and when you have the perfect headphones there’s nothing standing in-between you and your workout. With their FlipHook design, they adapt to an in-ear or behind-the-ear fit for added convenience. A comfortable combination of FlexSoft ear tips and TwistLock technology means these buds are guaranteed never to hurt or fall out. And if you thought a little sweat or rain was going to ruin your run, think again. Thanks to IPX5 sweatproofing, JBL Endurance RUN headphones keep up with your every step, while an in-line microphone and remote ensures you’re never reaching into your pocket to answer calls. Dynamic frequency response range(Hz): 20Hz – 20kHz","1,599.00",JBL Endurance Run Sweat-Proof Sports in-Ear Headphone Information,"1,099.00",4.1 out of 5 stars,"4,176 ratings",JBL Endurance Run Sweat-Proof Sports in-Ear Headphones with One-Button Remote and Microphone (Black),https://www.amazon.in/JBL-Sweat-Proof-Headphones-One-Button-Microphone/dp/B07CFDXLFC/ref=sr_1_96?dchild=1&qid=1594318680&s=electronics&sr=1-96&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'JBL'), ('Model', 'JBLENDURRUNBLK'), ('Model Name', 'ENDURANCE RUN'), ('Model Year', '2018'), ('Item Weight', '54.4 g'), ('Product Dimensions', '4.2 x 6.1 x 17.5 cm'), ('Item model number', 'JBLENDURRUNBLK'), ('Compatible Devices', 'Audio Player , Laptop, Mobile, Tablet'), ('Additional Features', 'FlipHook -flexible 2 way design to wear, Sweatproof, Comfort fit with TwistLockTM and FlexSoftTM technologies'), ('Included Components', '1 Pair of JBL JBLENDURRUN Headphones and Warranty card'), ('Number Of Items', '1'), ('Microphone Form Factor', 'With Microphone'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), (' GSM frequencies ', '20 KHz'), ('Connector Type', 'Wired'), ('Supports Bluetooth Technology', 'Yes')],)",500.00 (31%)
,"(None,)","(None,)","(None,)","(None,)","Enjoy wireless music and answer phone calls in crystal clear stereo sound with this Bluetooth Headset. It connects easily to your mobile phones , ipod or other supported devices using Bluetooth Technology and enables you to stream stereo music. You can even make calls wirelessly using the in-built omni-directional mic. you can enjoy wireless music and hands-free call via Bluetooth connection. What's more, it is built magnet in slots, you can put the earbuds into the slots when not use. The Wireless Stereo Headset delivers a Unique audio experience in stereo sound with the convenience of technology. With its unique form factor and sleek design, the tone is worn around the neck, ensuring you comfort throughout the day.When you're ready to enjoy your favorite music in stereo, just remove the magnetically snapped earphones. Combine all of the features and you have the ultimate headset for making and receiving calls or listening to your favorite tunes. This Headset is the perfect accessory to enhance your lifestyle.","1,999.00",Product information,779.00,"(None,)",,Drumstone KBP-500S Bluetooth Stereo Sports Wireless Portable Neckband Headset Compatible for All Smartphones,https://www.amazon.in/Drumstone-Wireless-Bluetooth-Headphone-Supports/dp/B07MQT5THN/ref=sr_1_102_sspa?dchild=1&qid=1594318680&s=electronics&sr=1-102-spons&x=10&y=7&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyT01LMDc0U0kzS0Q5JmVuY3J5cHRlZElkPUEwOTQwMjE2MVhQWEk3SEw5VjhYUiZlbmNyeXB0ZWRBZElkPUEwNDMxNDQ2NzdJWThYVlFTRlRDJndpZGdldE5hbWU9c3BfYnRmX2Jyb3dzZSZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,MacTraders India-Drumstone™ (Min. 1 Year Warranty),/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AYL345N9CAVH,"([('Brand', 'Drumstone'), ('Model', 'For All Smartphones'), ('Item Weight', '99.8 g'), ('Package Dimensions', '10 x 5 x 5 cm'), ('Item model number', 'For All Smartphones'), ('Hardware Platform', 'Smartphone'), ('Additional Features', 'Auto-Reconnect, Magnetic Earbuds, Neckband Stereo'), ('Headphones Form Factor', 'In Ear'), ('Batteries Required', 'No'), ('Connector Type', 'Bluetooth'), ('Material', 'Plastic &amp; Metal')],)","1,220.00 (61%)"
12% of reviews have 1 stars,5% of reviews have 2 stars,10% of reviews have 3 stars,25% of reviews have 4 stars,48% of reviews have 5 stars,"boAt BassHeads 225 polished metal earphones are designed to give you an experience which no other brand can match. It has an incredible sonic clarity with ""super extra bass"". It is not a plastic earphone - it is polished metal. With tangle free flat cables, you are expected to be hassle free. As the headphones feature 10mm drivers, they give you clear sound with that thumping bass. In-built noise cancelling mic ensures you don't miss those important calls. With colours that match your style in your day, the boAt earphones are the ideal choice for anyone who can carry that attitude. Just plug them in and plug into nirvana.",999.00,boAt BassHeads 225 in-Ear Wired Headphone Information,549.00,3.9 out of 5 stars,"93,371 ratings","boAt BassHeads 225 in-Ear Wired Earphones with Super Extra Bass, Metallic Finish, Tangle-Free Cable and Gold Plated Angled Jack (Molten Orange)",https://www.amazon.in/BassHeads-225-Headphones-Molten-Orange/dp/B07T2CZCMR/ref=sr_1_92?dchild=1&qid=1594318680&s=electronics&sr=1-92&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'Bassheads 225'), ('Model Name', 'Bassheads'), ('Item Weight', '18.1 g'), ('Product Dimensions', '12.4 x 7.3 x 2.6 cm'), ('Item model number', 'Bassheads 225'), ('Compatible Devices', 'All 3.5mm Jack device'), ('Included Components', 'Earphone'), ('Number Of Items', '1'), ('Microphone Form Factor', 'In-Line;Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Material', 'Metal'), ('Has Self Timer', 'No')],)",450.00 (45%)
12% of reviews have 1 stars,5% of reviews have 2 stars,10% of reviews have 3 stars,25% of reviews have 4 stars,48% of reviews have 5 stars,"boAt BassHeads 225 polished metal earphones are designed to give you an experience which no other brand can match. It has an incredible sonic clarity with ""super extra bass"". It is not a plastic earphone - it is polished metal. With tangle free flat cables, you are expected to be hassle free. As the headphones feature 10mm drivers, they give you clear sound with that thumping bass. In-built noise cancelling mic ensures you don't miss those important calls. With colours that match your style in your day, the boAt earphones are the ideal choice for anyone who can carry that attitude. Just plug them in and plug into nirvana.",999.00,boAt BassHeads 225 in-Ear Wired Headphone Information,549.00,3.9 out of 5 stars,"93,371 ratings","boAt BassHeads 225 in-Ear Wired Earphones with Super Extra Bass, Metallic Finish, Tangle-Free Cable and Gold Plated Angled Jack (Blue)",https://www.amazon.in/boAt-BassHeads-225-Special-Headphones/dp/B01MF8MB65/ref=sr_1_94?dchild=1&qid=1594318680&s=electronics&sr=1-94&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'BassHeads 225'), ('Model Name', 'Bass Heads 225'), ('Item Weight', '18.1 g'), ('Product Dimensions', '10.4 x 7.2 x 2.6 cm'), ('Item model number', 'BassHeads 225'), ('Compatible Devices', 'All 3.5mm Jack device'), ('Additional Features', 'Super Extra Bass, Powerful 10mm Drivers, HD Clear Sound, In-Line Microphone, Play/Pause your music, Change your tracks and Ans/end your calls, Passive Noise Isolation, Speaker resistance 16â""Š, Sensitivity 98db Â±3db, Frequency 20Hz - 20KHz, THD 0.3%'), ('Included Components', 'Earphones, Ear Tips'), ('Number Of Items', '1'), ('Audio Output Mode', 'Stereo'), ('Microphone Form Factor', 'with microphone'), ('Headphones Form Factor', 'With Microphone^Sports &amp; Fitness^Tangle Free Cord'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Material', 'Metal'), ('Includes Rechargable Battery', 'No')],)",450.00 (45%)
8% of reviews have 1 stars,4% of reviews have 2 stars,8% of reviews have 3 stars,29% of reviews have 4 stars,51% of reviews have 5 stars,"Serenade the scene with boAt BassHeads 152 KKR, the bass oasis to your nirvana. Equipped with 10mm drivers, experience audio nirvana that takes you to places! Get ready to turn the place over with that super extra bass. With a smooth vibrant design available in trendy colours of the Knight Riders, step into the fashion game. The perfect on hand earphones to possess, always stay a step ahead. Take calls using the inbuilt microphone and stay immersed into your sound freely with the tangle free braided cable. It’s been made for your comfort. Durable to the max, get ready to rock the rhythm with heavy bass tunes, because the private party just got started. Just plug in with the 3.5mm angled jack. The sound you’ve been looking for has been found.","1,290.00",boAt BassHeads 152 KKR Edition Wired Headphone Information,499.00,4.1 out of 5 stars,"13,944 ratings","boAt BassHeads 152 KKR Edition Wired Earphones with Super Extra Bass, Durable Cable, Built-in Mic, Metallic Earbuds(Thunder Purple)",https://www.amazon.in/BassHeads-152-Earphones-Durable-Metallic/dp/B08B1BND1Z/ref=sr_1_95?dchild=1&qid=1594318680&s=electronics&sr=1-95&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'Bassheads 152 Kolkata Knight Riders'), ('Model Name', 'BassHeads'), ('Item Weight', '13.6 g'), ('Product Dimensions', '120 x 1 x 2 cm'), ('Item model number', 'Bassheads 152 Kolkata Knight Riders'), ('Additional Features', 'earbud'), ('Included Components', 'Earphones, extra earbuds, warranty card and manual'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Required', 'No'), ('Connector Type', 'Wired')],)",791.00 (61%)
,"(None,)","(None,)","(None,)","(None,)","Waterproof design withstands your most intense workout. whatever the sweat, light rain, and accidental splashes it can easy to deal with.Battery is increased to provide up to 8 hours working time let you enjoy the wonderful music in travel and sports.Built-in magnet, Keep them on your neck when you don't need them to avoid losing them.With buttons on headphones, you can play/pause music, adjust volume, skip tracks, answer/end calls.","1,299.00",esportic® BT2 Bluetooth Headphone Information,299.00,"(None,)",,"esportic® BT2 Bluetooth Headphones,Wireless Earbuds Sweatproof Earphones Magnetic Attraction Stereo Headphones for Running Workout Gym Noise Cancelling",https://www.amazon.in/BT2-Headphones-Sweatproof-Attraction-Cancelling/dp/B08BWK73BT/ref=sr_1_101_sspa?dchild=1&qid=1594318680&s=electronics&sr=1-101-spons&x=10&y=7&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyT01LMDc0U0kzS0Q5JmVuY3J5cHRlZElkPUEwOTQwMjE2MVhQWEk3SEw5VjhYUiZlbmNyeXB0ZWRBZElkPUEwNTQ3MTgxMk8xMDQ4OEVLVklZOSZ3aWRnZXROYW1lPXNwX2J0Zl9icm93c2UmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,RMR ENTERPRISES,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2B76YSYV8FPO8,"([('Brand', 'esportic'), ('Model', 'BT2'), ('Item Weight', '4.54 g'), ('Product Dimensions', '12 x 10 x 20 cm'), ('Batteries:', '1 Nonstandard Battery batteries required. (included)'), ('Item model number', 'BT2'), ('Compatible Devices', 'sony, samsung, nokia, oneplus, samsung j7, oppo, vivo, redmi'), ('Additional Features', 'Battery backup -4 hrs, Noice canceling, waterproof'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Battery Average Life', '4 Hours'), ('Batteries Included', 'Yes'), ('Batteries Required', 'No'), ('Battery Cell Composition', 'Lithium Polymer'), ('Connector Type', 'Bluetooth'), ('Material', 'plastic')],)","1,000.00 (77%)"
13% of reviews have 1 stars,5% of reviews have 2 stars,10% of reviews have 3 stars,20% of reviews have 4 stars,52% of reviews have 5 stars,"High-Resolution sound quality: LDAC is a type of coding technology that can transmit HD audio wirelessly.It can transmit about 3 times the data of ordinary Bluetooth audio,enabling users to enjoy Hi-Res audio. 9.2 mm full-range dynamic speaker unit.Two modes: Balance mode and Bass mode, suitable for different scenarios.Adopts the industry’s advanced uplink noise reduction AI algorithm technology.","2,999.00",OPPO ENCO M31 Wireless in-Ear Bluetooth Headphone Information,"1,999.00",3.9 out of 5 stars,"1,021 ratings",OPPO ENCO M31 Wireless in-Ear Bluetooth Earphones with Mic (Green),https://www.amazon.in/OPPO-Wireless-Bluetooth-Earphones-Green/dp/B085YG9X8Q/ref=sr_1_97?dchild=1&qid=1594318680&s=electronics&sr=1-97&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Oppo'), ('Model', 'OPPO Enco M31_Green'), ('Model Name', 'OPPO Enco M31_Green'), ('Item Weight', '22.7 g'), ('Product Dimensions', '14.5 x 2.9 x 12.7 cm'), ('Batteries:', '1 Lithium ion batteries required. (included)'), ('Item model number', 'OPPO Enco M31_Green'), ('Hardware Platform', 'Smartphone'), ('Additional Features', 'in-ear'), ('Included Components', 'Neckband, Additional Eartips 3 pair, Type-C Charging Cable &amp; Quick guide book'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'Yes'), ('Batteries Required', 'Yes'), ('Battery Cell Composition', 'Lithium Ion'), ('Connector Type', 'Bluetooth')],)","1,000.00 (33%)"
16% of reviews have 1 stars,5% of reviews have 2 stars,10% of reviews have 3 stars,23% of reviews have 4 stars,46% of reviews have 5 stars,"Curve wireless neckband offers a comfortable fit on the neck and lightweight earphones with deep listening experience have magnetic drivers which are durable, lightweight with its metallic body and best in class 3D HD surround sound with supreme clarity.","4,499.00",Boult Audio ProBass Curve Wireless Neckband Headphone Information,"1,299.00",3.8 out of 5 stars,"24,402 ratings","Boult Audio ProBass Curve Wireless Neckband Earphones with Latest Bluetooth 5.0, IPX5 Sweatproof Headphones with 8 Hour Battery Life & mic (Blue)",https://www.amazon.in/Boult-Audio-Curve-Sweatproof-Headphones/dp/B07MK2H78S/ref=sr_1_91?dchild=1&qid=1594318680&s=electronics&sr=1-91&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boult Audio'), ('Model', 'Curve'), ('Model Name', 'Curve'), ('Product Dimensions', '18 x 11 x 1.5 cm'), ('Batteries:', '1 Lithium ion batteries required. (included)'), ('Item model number', 'Curve'), ('Hardware Platform', 'Tablet, PC, Laptop, Smartphone'), ('Compatible Devices', 'Mobiles;Smartphones;Tablets, Laptops;Smart TVs;iOS;Adnroid;Windows;Blackberry'), ('Additional Features', 'wireless'), ('Included Components', 'Curve earphones,  2 extra pair of earbuds, Charging Micro USB cable, User Manual.'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Battery Average Life', '12 Hours'), ('Battery Average Life Standby', '96 Hours'), ('Batteries Included', 'Yes'), ('Batteries Required', 'Yes'), ('Battery Capacity', '135.0'), ('Battery Cell Composition', 'Lithium Ion'), ('Connector Type', 'Bluetooth')],)","3,200.00 (71%)"
11% of reviews have 1 stars,4% of reviews have 2 stars,8% of reviews have 3 stars,25% of reviews have 4 stars,52% of reviews have 5 stars,Plug Into Nirvana on your boAt Rockerz 255 Pro that comes equipped with the latest Bluetooth v5.0 QCC3003 chipset. cVc technology ensures you a seamless calling experience. The Bluetooth headset offers Fast Charging Technology meaning you can fully charge it in only 1 hour. It offers a playtime of up to 6 hours with its powerful battery for an extended immersive experience. It is IPX5 rated to offer protection against sweat and water scares,"3,499.00",boAt Rockerz 255 Pro Wireless Headphone Information,"1,599.00",4.0 out of 5 stars,993 ratings,"boAt Rockerz 255 Pro Wireless Headset with ASAP Charge Technology, Bluetooth V5.0, Qualcomm Chipset, Super Extra Bass, IPX5 Sweat and Water Resistance and Up to 6H Playtime (Raging Red)",https://www.amazon.in/Rockerz-255-Pro-Technology-Resistance/dp/B082VRTF4M/ref=sr_1_124?dchild=1&qid=1594318700&s=electronics&sr=1-124&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'rockerz-255-pro'), ('Model Name', 'Rockerz'), ('Item Weight', '27.2 g'), ('Product Dimensions', '4.5 x 1.1 x 0.2 cm'), ('Batteries:', '1 Lithium ion batteries required. (included)'), ('Item model number', 'rockerz-255-pro'), ('Compatible Devices', 'All Compatabile Bluetooth Devices (Windows, iOS &amp; Android)'), ('Included Components', '1xboAt Rockerz 255 PRO, 1xMicro USB Cable, 2xPairs of additional earmuffs (S&amp;L), 1xUser Manual, 1xWarranty Card'), ('Number Of Items', '1'), ('Batteries Included', 'Yes'), ('Batteries Required', 'Yes'), ('Battery Cell Composition', 'Lithium Ion'), ('Connector Type', 'Bluetooth')],)","1,900.00 (54%)"
13% of reviews have 1 stars,6% of reviews have 2 stars,8% of reviews have 3 stars,22% of reviews have 4 stars,50% of reviews have 5 stars,"Plug Into Nirvana with boAt Airdopes 441 TWS earbuds to enjoy your music in a truly wireless way. It has the IWP (Insta Wake N’ Pair) Technology, meaning as soon as one opens the charging case lid, the earbuds power on and enter connection mode. The TWS Airdopes 441 come equipped with 6mm drivers for immersive sound. It offers a seamless user experience via its capacitive touch controls. One may hit the gym or play on any field as its secure sports fit earbuds remain intact and comfortably in place. The stereo calling feature lets the user indulge in smooth and clear chats over calls. Its latest Bluetooth v5.0 offers seamless instant connectivity. With a battery capacity of 35mAh for each earbud, indulge in blissful audio experience for up to 3.5 hours in a go and get an additional 14H of playback with the carry cum charge case. Also, a Type C charging port ensures that the case gets to be charged without much fuss and with ease. It is IPX6 rated to offer resistance against sweat and splash scares. One can access the instant voice assistant by just a single touch. The ergonomically designed TWS Airdopes 441 are truly dope!","5,999.00",boAt Airdopes 441 TWS Ear-Buds Headphone Information,"2,499.00",3.9 out of 5 stars,"1,331 ratings","boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 18H Total Playback, IPX6 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Sporty Blue)",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B086WMR98R/ref=sr_1_89?dchild=1&qid=1594318680&s=electronics&sr=1-89&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'Airdopes 441'), ('Model Name', 'Airdopes 441'), ('Item Weight', '49.9 g'), ('Product Dimensions', '7 x 3.8 x 3 cm'), ('Item model number', 'Airdopes 441'), ('Compatible Devices', 'Winows, iOS, Android'), ('Additional Features', 'earbud'), ('Included Components', '1xAirdopes 441, 1xCharging Case, 2xPairs of Ear Caps, 1xCharging Cable, User Manual'), ('Number Of Items', '1'), ('Headphones Form Factor', 'In Ear'), ('Batteries Required', 'No'), ('Connector Type', 'Bluetooth')],)","3,500.00 (58%)"
5% of reviews have 1 stars,3% of reviews have 2 stars,7% of reviews have 3 stars,23% of reviews have 4 stars,61% of reviews have 5 stars,"Boult X1 ergonomically designed drivers come along with super-soft and flexible ear fins making them extremely comfortable for long music sessions and calls. Justifying its name, Boult X1 is out of this world! AL grade aluminium drivers and built in micro-woofer create a smooth synchronized sound with a punchy bass.",999.00,Boult Audio BassBuds X1 in-Ear Wired Headphone Information,449.00,4.3 out of 5 stars,"1,925 ratings","Boult Audio BassBuds X1 in-Ear Wired Earphones with Mic, Deep Bass & HD Sound, Mobile Headset (Red)",https://www.amazon.in/Boult-Audio-BassBuds-X1-Earphones/dp/B07TFW1KML/ref=sr_1_90?dchild=1&qid=1594318680&s=electronics&sr=1-90&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boult Audio'), ('Model', 'X1'), ('Model Name', 'Bassbuds'), ('Item Weight', '200 g'), ('Product Dimensions', '12 x 8 x 1.5 cm'), ('Item model number', 'X1'), ('Hardware Platform', 'Smartphone'), ('Compatible Devices', 'Mobile, Laptop, Tablet, Television, Computer'), ('Additional Features', 'Sports, Fitness, Sweatproof'), ('Included Components', '1 Headphone, 1 pair earbuds, Instruction Manual'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Material', 'Plastic')],)",550.00 (55%)
19% of reviews have 1 stars,6% of reviews have 2 stars,11% of reviews have 3 stars,23% of reviews have 4 stars,42% of reviews have 5 stars,"The new JBL C50HI are dynamic, ultra-lightweight in-ear headphones delivering the bass response and legendary sound quality you expect. Despite their powerful sound performance, they’re feather-light for all-day comfort and include a range of ear-tips in 3 sizes. An in-line microphone with universal remote control lets you talk and manage your calls on Android and iOS devices.",999.00,JBL C50HI in-Ear Headphone Information,490.00,3.6 out of 5 stars,"23,615 ratings",JBL C50HI in-Ear Headphones with Mic (Red),https://www.amazon.in/JBL-C50HI-Ear-Headphones-Mic/dp/B07SGY8VP6/ref=sr_1_93?dchild=1&qid=1594318680&s=electronics&sr=1-93&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'JBL'), ('Model', 'C50HI'), ('Model Name', 'C'), ('Item Weight', '13.6 g'), ('Product Dimensions', '6 x 3 x 17.5 cm'), ('Item model number', 'C50HI'), ('Compatible Devices', 'Audio Player , Laptop, Mobile, Tablet'), ('Additional Features', 'with microphone'), ('Included Components', '1 x JBL C50HI headphones, 3 sets of ear tips (S, M, L), 1 x Warranty card,1 x Safety card'), ('Number Of Items', '1'), ('Microphone Form Factor', 'With Microphone'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired')],)",509.00 (51%)
8% of reviews have 1 stars,4% of reviews have 2 stars,8% of reviews have 3 stars,29% of reviews have 4 stars,51% of reviews have 5 stars,"Serenade the scene with the boAt BassHeads 152, the bass oasis to your nirvana. Equipped with 10mm drivers, experience audio nirvana that takes you to places! Get ready to turn the place over with that super extra bass. With a smooth vibrant design available in trendy colour variants, step into the fashion game. The perfect on hand earphones to possess, always stay a step ahead. Take calls using the inbuilt microphone and tune out freely with the tangle free braided cable. It’s been made for your comfort. Durable to the max, get ready to rock the rhythm with heavy bass tunes, because the private party just got started. Just plug in with the 3.5mm angled jack. The sound you’ve been looking for has been found.","1,299.00",boAt BassHeads 152 Wired Headphone Information,499.00,4.1 out of 5 stars,"13,944 ratings","boAt BassHeads 152 Wired Earphones with Super Extra Bass, Durable Cable, Built-in Mic, Metallic Earbuds(Raging Red)",https://www.amazon.in/BassHeads-152-Secure-Braided-Earphones/dp/B07KY2KP8M/ref=sr_1_119?dchild=1&qid=1594318700&s=electronics&sr=1-119&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', '152'), ('Model Name', 'Bass Heads'), ('Item Weight', '18.1 g'), ('Product Dimensions', '120 x 0.1 x 0.2 cm'), ('Item model number', '152'), ('Compatible Devices', 'All 3.5mm Jack device'), ('Additional Features', 'HD Sound, in-line mic'), ('Included Components', 'Earphone'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired')],)",800.00 (62%)
22% of reviews have 1 stars,6% of reviews have 2 stars,8% of reviews have 3 stars,19% of reviews have 4 stars,46% of reviews have 5 stars,"Mi Earphones are here to ensure that good music never has to stop as they offer up to 8 hours of music playback. This way, you can power through tough workout sessions and long days at work. It comes with a voice command feature that enables you to take calls, play the song of your choice, and more while you’re working out.","1,999.00",Mi Neckband Bluetooth Headphone Information,"1,599.00",3.6 out of 5 stars,369 ratings,"Mi Neckband Bluetooth Earphones with Dynamic Bass, Works with Voice Assistant, Bluetooth 5.0",https://www.amazon.in/Mi-Neckband-Bluetooth-Earphones-Assistant/dp/B084H9P96S/ref=sr_1_123?dchild=1&qid=1594318700&s=electronics&sr=1-123&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Mi'), ('Model', 'LYXQEJ04JY'), ('Model Name', 'Earphones'), ('Item Weight', '36.3 g'), ('Product Dimensions', '4 x 0.9 x 0.5 cm'), ('Item model number', 'LYXQEJ04JY'), ('Additional Features', 'neckband'), ('Included Components', 'Earphones 1U, User Manual 1U, Charging cable 1U, Eartips 6U (3 pairs:S/M/L)'), ('Batteries Required', 'No'), ('Connector Type', 'Bluetooth'), ('Material', 'Rubber')],)",400.00 (20%)
25% of reviews have 1 stars,6% of reviews have 2 stars,11% of reviews have 3 stars,17% of reviews have 4 stars,40% of reviews have 5 stars,"pTron HBE5 Raptor’s 10mm drivers, backed by a Neodymium magnet ensures your ears receive crystal clear stereo sound with bass and crisp treble. pTron HBE5 Raptor wired headphones in-ear design combined with the correct ear tips will seal your music in and leave the external noise out and delivers natural clear and super enhanced bass sound. These earbuds with microphone are convenient for hands-free calling. One-button in-line remote gives you the power to easily answer and end phone calls, control songs play/pause, next song/prev. song, & volume up/ volume down. 3.5mm audio jack makes these earphones universal. Compatible with smartphones, tablets, MP3/MP4 Players, Laptop/Desktop Computers, and other audio devices. The tangle-free flat noodle cable and 3.5mm headphone jack ensure you’ll never have to worry about the frustration of untangling your in-ear headphones from your pocket. 1.2m long headphones tangle-free cable threads comfortably through clothing and bags making it easy to connect. Contact us on 6 months manufacturer warranty, customer care number: 040-67138888.",699.00,pTron HBE5 Raptor Headphone Information,199.00,3.4 out of 5 stars,659 ratings,pTron HBE5 Raptor (High Bass Earphones) in-Ear Stereo Wired Headphones with Mic - (White and Blue),https://www.amazon.in/HBE5-Raptor-Earphones-Stereo-Headphones/dp/B07XRL9JRM/ref=sr_1_118?dchild=1&qid=1594318700&s=electronics&sr=1-118&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Item Weight', '18.1 g'), ('Product Dimensions', '120 x 0.5 x 0.5 cm'), ('Item model number', 'HBE5 Raptor'), (' Connectivity technologies ', 'wired-3.5mm single pin; Wired'), (' Special features ', 'In-Ear Design; Ergonomic Earbuds; Stereo Sound with Bass; 10mm Dynamic Drivers; Clear Voice; In-line HD Mic; Volume &amp; Music Controls; Passive Noise Isolation; Lightweight; Durable Headphones; Universal 3.5mm Audio Jack; 1.2m Tangle-free Cable; Widely Compatible with 3.5mm Aux Connector Devices; 6 months Warranty'), (' Audio Jack ', '3.5 mm'), (' Weight ', '18.1 Grams'), (' Colour ', 'White and Blue'), (' Whats in the box ', 'Earphones')],)",500.00 (72%)
