Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
THALASSA PATRIS,Singapore,9V2229,Container Ship,Cargo ship (HAZ-D),2013,148667,148667,368 / 51
L ELEPHANT,Liberia,-,Crude Oil Tanker,-,1992,149581,149581,330 / 59
TRITON,Malta,9HA4272,Container Ship,Cargo ship,2016,148386,148386,369 / 51
TALOS,Malta,9HA4371,Container Ship,Cargo ship,2016,148386,148386,369 / 51
JANICE N,Liberia,A8PJ7,Bulk Carrier,Cargo ship,1995,148533,148533,322 / 58
FPSO CIDADE DEPARATY,Bahamas,C6XM6,Offshore Support Vessel,Dredging or UW ops,1988,148661,148661,322 / 56
RUBYNI,Comoros,-,Crude Oil Tanker,-,2000,149282,149282,330 / 60
THALASSA NIKI,Singapore,9V2233,Container Ship,Cargo ship (HAZ-D),2014,148667,148667,368 / 51
APL SENTOSA,Malta,9HA5180,Container Ship,Cargo ship (HAZ-A),2014,151015,151015,368 / 51
THALASSA MANA,Liberia,D5QY9,Container Ship,Cargo ship,2014,148667,148667,368 / 51
THALASSA HELLAS,Singapore,9V2228,Container Ship,Cargo ship (HAZ-A),2013,148667,148667,368 / 51
THALASSA DOXA,Liberia,D5QZ4,Container Ship,Cargo ship (HAZ-A),2014,148667,148667,369 / 51
THALASSA PISTIS,Denmark,OYKF2,Container Ship,Cargo ship (HAZ-A),2014,148667,148667,368 / 51
CMA CGM ARGENTINA,Malta,9HA5066,Container Ship,Cargo ship,2019,149314,149314,366 / 51
ONE STORK,Japan,7KCR,Container Ship,Cargo ship,2018,145251,145251,364 / 51
ONE BLUE JAY,Japan,7KDP,Container Ship,Cargo ship,2016,145251,145251,364 / 51
THALASSA AXIA,Liberia,D5QZ2,Container Ship,Cargo ship (HAZ-D),2014,148667,148667,368 / 51
NYK WREN,Japan,7KBS,Container Ship,Cargo ship,2018,145251,145251,364 / 51
SKY PRINCESS,Bermuda,ZCEV9,Passenger (Cruise) Ship,Passenger ship,2019,145281,145281,330 / 38
ENCHANTED PRINCESS,Italy,ITP0224,Passenger (Cruise) Ship,Passenger ship,2020,145281,145281,330 / 44
TAKA,Tuvalu,-,Crude Oil Tanker,-,1987,145635,145635,321 / 58
ONE AQUILA,Panama,H9LE,Container Ship,Cargo ship,2018,145647,145647,364 / 51
THALASSA ELPIDA,Singapore,9V2231,Container Ship,Cargo ship (HAZ-D),2014,148667,148667,368 / 51
ONE COLUMBA,Panama,3FTC3,Container Ship,Cargo ship,2018,145647,145647,364 / 51
MERA,Comoros,-,FSO,-,1987,145600,145600,324 / 56
NYK OWL,Japan,7KBK,Container Ship,Cargo ship (HAZ-A),2017,145253,145253,364 / 51
THALASSA TYHI,Liberia,D5QZ3,Container Ship,Cargo ship (HAZ-D),2014,148667,148667,368 / 51
NORWEGIAN GETAWAY,Bahamas,C6ZJ4,Passenger (Cruise) Ship,Passenger ship,2014,145655,145655,326 / 44
YM WELLHEAD,Hong Kong,VROH8,Container Ship,Cargo ship (HAZ-D),2015,144651,144651,368 / 51
YM WHOLESOME,Hong Kong,VROO4,Container Ship,Cargo ship (HAZ-D),2015,144651,144651,368 / 51
YM WONDROUS,Hong Kong,VROH9,Container Ship,Cargo ship (HAZ-D),2015,144651,144651,368 / 51
YM WARMTH,Hong Kong,VROO5,Container Ship,Cargo ship (HAZ-D),2015,144651,144651,368 / 51
YM WELLNESS,Hong Kong,VROO3,Container Ship,Cargo ship (HAZ-D),2015,144651,144651,368 / 51
YM WORTH,Hong Kong,VROO6,Container Ship,Cargo ship (HAZ-D),2015,144651,144651,368 / 51
YM WINNER,Hong Kong,VROL7,Container Ship,Cargo ship (HAZ-A),2015,144651,144651,368 / 51
YM WORLD,Hong Kong,VROI2,Container Ship,Cargo ship (HAZ-C),2015,144651,144651,368 / 51
MARGOT N,Liberia,-,Bulk Carrier,-,1989,144759,144759,322 / 56
DIAMOND GAS ROSE,Bahamas,C6DS5,LNG Tanker,Tanker,2018,144828,144828,294 / 49
YM WITNESS,Hong Kong,VROL6,Container Ship,Cargo ship,2015,144651,144651,368 / 51
DIAMOND GAS SAKURA,Bahamas,C6DS6,LNG Tanker,Tanker,2019,144828,144828,294 / 49
YM WELCOME,Hong Kong,VRPF8,Container Ship,Cargo ship (HAZ-A),2016,145136,145136,368 / 51
YM WREATH,Hong Kong,VRPF9,Container Ship,Cargo ship (HAZ-A),2017,145136,145136,368 / 51
YM WIND,Hong Kong,VRPE6,Container Ship,Cargo ship (HAZ-A),2017,145136,145136,368 / 51
HONG KONG EXPRESS,Germany,DJAZ2,Container Ship,Cargo ship,2013,143262,143262,367 / 48
YM WINDOW,Hong Kong,VRPF7,Container Ship,Cargo ship,2016,145136,145136,368 / 51
COSCO SAKURA,Hong Kong,VRSG3,Container Ship,Cargo ship (HAZ-A),2018,143179,143179,366 / 48
ULSAN EXPRESS,Germany,DDOQ2,Container Ship,Cargo ship,2014,143262,143262,367 / 48
LUDWIGSHAFEN EXPRESS,Germany,DDOR2,Container Ship,Cargo ship (HAZ-A),2014,143262,143262,367 / 48
PACIFIC BREEZE,Marshall Islands,V7LZ9,LNG Tanker,Tanker,2018,144978,144978,300 / 52
SHANGHAI EXPRESS,Germany,DJBF2,Container Ship,Cargo ship (HAZ-A),2013,143262,143262,367 / 48
MSC AURORA,Panama,3FAT3,Container Ship,Cargo ship (HAZ-A),2012,143521,143521,366 / 48
NEW YORK EXPRESS,Germany,DIXJ2,Container Ship,Cargo ship,2012,143262,143262,367 / 48
MSC VANDYA,Panama,3FDW4,Container Ship,Cargo ship (HAZ-A),2012,143521,143521,366 / 48
MSC ARIANE,Panama,3FDA3,Container Ship,Cargo ship (HAZ-A),2012,143521,143521,366 / 48
ESSEN EXPRESS,Germany,DCQP2,Container Ship,Cargo ship (HAZ-B),2013,142295,142295,366 / 48
MAERSK ENSHI,Panama,3FIL,Container Ship,Cargo ship (HAZ-D),2012,142121,142121,366 / 48
COSCO PRIDE,Hong Kong,VRIV3,Container Ship,Cargo ship,2011,141823,141823,366 / 48
MAERSK EDIRNE,Singapore,9V6463,Container Ship,Cargo ship (HAZ-A),2012,142121,142121,366 / 48
HAMBURG EXPRESS,Germany,DFKM2,Container Ship,Cargo ship (HAZ-A),2012,142295,142295,367 / 48
MAERSK EUREKA,Singapore,9V6465,Container Ship,Cargo ship,2012,142121,142121,366 / 48
ANTWERPEN EXPRESS,Germany,DJCE2,Container Ship,Cargo ship,2013,142295,142295,367 / 48
MSC TRIESTE,Malta,9HA3459,Container Ship,Cargo ship (HAZ-A),2011,143521,143521,366 / 48
LEVERKUSEN EXPRESS,Germany,DJDS2,Container Ship,Cargo ship,2014,142295,142295,366 / 48
HYUNDAI VICTORY,Marshall Islands,V7FO2,Container Ship,Cargo ship,2014,142620,142620,366 / 48
HYUNDAI DREAM,Korea,D7DR,Container Ship,Cargo ship,2014,142620,142620,366 / 48
ROYAL PRINCESS,Bermuda,ZCEI3,Passenger (Cruise) Ship,Passenger ship,2013,142714,142714,330 / 38
BASLE EXPRESS,Germany,DFGN2,Container Ship,Cargo ship (HAZ-A),2012,143262,143262,367 / 48
HYUNDAI DRIVE,Marshall Islands,V7FN9,Container Ship,Cargo ship,2014,142620,142620,366 / 48
HYUNDAI PRIDE,Marshall Islands,V7FO4,Container Ship,Cargo ship,2014,142620,142620,366 / 48
HYUNDAI HOPE,Korea,D7HP,Container Ship,Cargo ship,2014,142620,142620,357 / 48
MSC RAPALLO,Liberia,A8ZV3,Container Ship,Cargo ship (HAZ-B),2011,143521,143521,366 / 48
MSC TOPAZ,Liberia,D5NI2,Container Ship,Cargo ship (HAZ-D),2012,141754,141754,366 / 48
MAERSK EMDEN,Denmark,OXLK2,Container Ship,Cargo ship,2010,141716,141716,366 / 48
MAERSK EMERALD,Singapore,9V6464,Container Ship,Cargo ship (HAZ-A),2012,141754,141754,366 / 48
MAERSK EINDHOVEN,Denmark,OXFG2,Container Ship,Cargo ship (HAZ-A),2010,141716,141716,366 / 48
MAERSK EDINBURGH,Denmark,OXLT2,Container Ship,Cargo ship,2010,141716,141716,366 / 48
MSC PERLE,Liberia,D5NI7,Container Ship,Cargo ship (HAZ-A),2013,141754,141754,366 / 48
MSC RUBY,Liberia,D5NJ4,Container Ship,Cargo ship (HAZ-D),2013,141754,141754,366 / 48
MAERSK ESMERALDAS,Panama,HPDM,Container Ship,Cargo ship (HAZ-A),2013,141754,141754,366 / 48
MAERSK ENSENADA,Panama,H9UW,Container Ship,Cargo ship,2013,141754,141754,366 / 48
MAERSK ELBA,Denmark,OYHL2,Container Ship,Cargo ship (HAZ-A),2011,141716,141716,366 / 48
HYUNDAI HONOUR,Liberia,-,Container Ship,-,2012,141770,141770,367 / 48
COSCO EXCELLENCE,Hong Kong,VRJT8,Container Ship,Cargo ship (HAZ-A),2012,141823,141823,366 / 48
PSU SIXTH,Singapore,S6OP,Bulk Carrier,Cargo ship,2013,141575,141575,328 / 57
MSC CRISTINA,Liberia,D5BU7,Container Ship,Cargo ship (HAZ-D),2011,141635,141635,366 / 48
MSC CAPELLA,Panama,3EUI7,Container Ship,Cargo ship (HAZ-D),2012,141635,141635,366 / 48
MSC BENEDETTA,Liberia,D5OY6,Container Ship,Cargo ship (HAZ-B),2011,141635,141635,366 / 48
MSC VEGA,Liberia,D5BE4,Container Ship,Cargo ship,2012,141635,141635,366 / 48
MSC MARGRIT,Hong Kong,VRPL3,Container Ship,Cargo ship (HAZ-A),2012,141635,141635,366 / 48
MSC REGULUS,Panama,3EYG3,Container Ship,Cargo ship (HAZ-B),2012,141635,141635,366 / 48
MSC ALTAIR,Liberia,A8YN2,Container Ship,Cargo ship (HAZ-A),2012,141635,141635,366 / 48
MSC RENEE,Hong Kong,VRPL2,Container Ship,Cargo ship (HAZ-A),2012,141635,141635,366 / 48
ERVING,United Kingdom,2EDZ5,Container Ship,Cargo ship,2011,141649,141649,366 / 48
EDISON,United Kingdom,2DXY2,Container Ship,Cargo ship,2011,141649,141649,366 / 48
MSC ELISA,Liberia,D5QH7,Container Ship,Cargo ship (HAZ-A),2011,141649,141649,366 / 48
MSC EMMA,Liberia,D5QH6,Container Ship,Cargo ship (HAZ-A),2011,141649,141649,366 / 48
MSC NATASHA,Liberia,D5PL3,Container Ship,Cargo ship (HAZ-A),2011,141649,141649,366 / 48
HYUNDAI RESPECT,Malta,9HA4586,Container Ship,Cargo ship,2012,141770,141770,367 / 48
OOCL EGYPT,Hong Kong,VRLZ3,Container Ship,Cargo ship,2013,141003,141003,366 / 48
ALULA,Malta,9HA2952,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,366 / 51
JEBEL ALI,Malta,9HA2984,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,366 / 51
OOCL MALAYSIA,Hong Kong,VRME7,Container Ship,Cargo ship,2013,141003,141003,366 / 48
OOCL BANGKOK,Hong Kong,VRME6,Container Ship,Cargo ship,2013,141003,141003,366 / 48
OOCL POLAND,Hong Kong,VRLJ2,Container Ship,Cargo ship,2013,141003,141003,366 / 48
AIN SNAN,Malta,9HA2887,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,365 / 48
UMM SALAL,Malta,9HA2682,Container Ship,Cargo ship (HAZ-A),2011,141077,141077,366 / 51
TAYMA,Malta,9HA2989,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,366 / 48
UNAYZAH,Malta,9HA2953,Container Ship,Cargo ship (HAZ-D),2012,141077,141077,366 / 48
AL QIBLA,Malta,9HA3958,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,366 / 51
AL RIFFA,Malta,9HA2982,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,366 / 51
ENERGY HORIZON,Japan,7JHS,LNG Tanker,Tanker (HAZ-D),2011,141136,141136,300 / 52
MALIK ALASHTAR,Malta,9HA2983,Container Ship,Cargo ship (HAZ-A),2012,141077,141077,366 / 48
PARIS EXPRESS,Liberia,A8XT7,Container Ship,Cargo ship (HAZ-D),2011,140259,140259,366 / 48
CMA CGM ALASKA,Malta,9HA5189,Container Ship,Cargo ship (HAZ-D),2011,140259,140259,366 / 48
CMA CGM NEVADA,Malta,9HA3474,Container Ship,Cargo ship (HAZ-A),2011,140259,140259,366 / 48
CMA CGM J. MADISON,Malta,9HA4975,Container Ship,Cargo ship (HAZ-A),2018,140872,140872,366 / 48
CMA CGM A. LINCOLN,Malta,9HA4969,Container Ship,Cargo ship (HAZ-A),2017,140872,140872,366 / 48
CMA CGM G.WASHINGTON,Malta,9HA5003,Container Ship,Cargo ship (HAZ-A),2017,140872,140872,366 / 48
CMA CGM T.ROOSEVELT,Malta,9HA5029,Container Ship,Cargo ship (HAZ-A),2017,140872,140872,366 / 48
MSC KANOKO,Liberia,D5TM3,Container Ship,Cargo ship (HAZ-A),2019,140976,140976,366 / 48
MSC FAITH,Liberia,D5TM2,Container Ship,Cargo ship,2019,140976,140976,366 / 48
MSC JEWEL,Liberia,D5TL4,Container Ship,Cargo ship (HAZ-D),2019,140976,140976,366 / 48
AL GHARIYA,Bahamas,C6WF5,LNG Tanker,Tanker (HAZ-D),2008,137535,137535,315 / 50
MSC ALIYA,Liberia,D5TM4,Container Ship,Cargo ship,2019,140976,140976,366 / 48
HYUNDAI SMART,Greece,SVBY2,Container Ship,Cargo ship,2012,141770,141770,367 / 48
CMA CGM T.JEFFERSON,Malta,9HA4970,Container Ship,Cargo ship (HAZ-A),2017,140872,140872,367 / 48
VOYAGER OF THE SEAS,Bahamas,C6SE5,Passenger (Cruise) Ship,Passenger ship,1999,138194,138194,311 / 39
CMA CGM J. ADAMS,Malta,9HA4999,Container Ship,Cargo ship (HAZ-A),2017,140872,140872,366 / 48
MARVEL CRANE,Singapore,9V5069,LNG Tanker,Tanker (HAZ-D),2019,139049,139049,298 / 49
MSC FANTASIA,Panama,3ETR7,Passenger (Cruise) Ship,Passenger ship,2008,137936,137936,333 / 38
MSC SPLENDIDA,Panama,3FZI8,Passenger (Cruise) Ship,Passenger ship,2009,137936,137936,333 / 38
MSC DIVINA,Panama,3FFA5,Passenger (Cruise) Ship,Passenger ship,2012,139072,139072,333 / 38
MARVEL HERON,Panama,3EVN7,LNG Tanker,Tanker,2019,139050,139050,298 / 49
ADVENTURE OF THE SEA,Bahamas,C6SA3,Passenger (Cruise) Ship,Passenger ship,2001,138193,138193,311 / 39
EXPLORER OF THE SEAS,Bahamas,C6SE4,Passenger (Cruise) Ship,Passenger ship,2000,138194,138194,311 / 39
MSC PREZIOSA,Panama,3FOA6,Passenger (Cruise) Ship,Passenger ship,2013,139072,139072,333 / 38
NAVIGATOR OF THE SEA,Bahamas,C6FU4,Passenger (Cruise) Ship,Passenger ship,2002,139999,139999,311 / 39
MSC LAUREN,Panama,3FZR5,Container Ship,Cargo ship (HAZ-C),2011,140096,140096,366 / 48
MSC BERYL,Panama,3EXV8,Container Ship,Cargo ship (HAZ-A),2010,140096,140096,366 / 48
MSC KATRINA,Panama,3EZD3,Container Ship,Cargo ship (HAZ-A),2012,140096,140096,366 / 48
AL AAMRIYA,Marshall Islands,V7OJ3,LNG Tanker,Tanker,2008,136685,136685,315 / 50
FRAIHA,Marshall Islands,V7OJ5,LNG Tanker,Tanker (HAZ-A),2008,136685,136685,306 / 50
PACIFIC MIMOSA,Japan,7JYN,LNG Tanker,Tanker,2018,136716,136716,288 / 49
MARINER OF THE SEAS,Bahamas,C6FV9,Passenger (Cruise) Ship,Passenger ship,2003,139863,139863,311 / 39
LNG JUROJIN,Bahamas,C6CA7,LNG Tanker,Tanker,2015,136739,136739,288 / 49
LNG MARS,Japan,7JRT,LNG Tanker,Tanker,2016,136710,136710,288 / 49
MURWAB,Marshall Islands,V7OJ4,LNG Tanker,Tanker (HAZ-C),2008,136685,136685,315 / 50
LNG SATURN,Bahamas,C6CD3,LNG Tanker,Tanker (HAZ-A),2016,136739,136739,288 / 49
AL KHATTIYA,Marshall Islands,V7QF6,LNG Tanker,Tanker,2009,136980,136980,315 / 50
ESSHU MARU,Bahamas,C6BJ9,LNG Tanker,Tanker,2014,136740,136740,288 / 49
AL BAHIYA,Marshall Islands,V7QF5,LNG Tanker,Tanker,2010,136980,136980,315 / 50
SEISHU MARU,Bahamas,C6BH2,LNG Tanker,Tanker,2014,136740,136740,288 / 49
AL KARAANA,Marshall Islands,V7QG6,LNG Tanker,Tanker (HAZ-D),2009,136980,136980,315 / 50
ONAIZA,Marshall Islands,V7QH3,LNG Tanker,Tanker,2009,136980,136980,315 / 50
THIALF,Panama,3EAA4,Crane Ship,Unknown (HAZ-A),1985,136709,136709,202 / 88
STELLA ISABEL,Singapore,9V3391,Bulk Carrier,Cargo ship,2015,135472,135472,325 / 57
SHANDONG HE XIE,Hong Kong,VRNT3,Bulk Carrier,Cargo ship,2014,135837,135837,325 / 57
LNGC AL SHAMAL,Bahamas,C6VG4,LNG Tanker,Tanker (HAZ-D),2008,135848,135848,315 / 50
AL KHUWAIR,Bahamas,C6VM6,LNG Tanker,Tanker (HAZ-B),2008,135848,135848,315 / 50
AL KHARSAAH,Bahamas,C6VG3,LNG Tanker,Tanker (HAZ-D),2008,135848,135848,315 / 50
AL HUWAILA,Bahamas,C6VG2,LNG Tanker,Tanker (HAZ-A),2008,135848,135848,315 / 50
SHINSHU MARU,Bahamas,C6EB3,LNG Tanker,Tanker,2019,135951,135951,300 / 49
SOHSHU MARU,Bahamas,C6CU9,LNG Tanker,Tanker,2019,135951,135951,300 / 49
AL KHARAITIYAT,Marshall Islands,V7QF8,LNG Tanker,Tanker,2009,136168,136168,315 / 50
AL UTOURIYA,Marshall Islands,V7NU5,LNG Tanker,Tanker,2008,136355,136355,315 / 50
AL THUMAMA,Marshall Islands,V7NU3,LNG Tanker,Tanker,2008,136355,136355,315 / 50
AL SAHLA,Marshall Islands,V7NU4,LNG Tanker,Tanker (HAZ-D),2008,136355,136355,315 / 50
AL REKAYYAT,Marshall Islands,V7QF3,LNG Tanker,Tanker,2009,136168,136168,315 / 50
SERI CEMPAKA,Malaysia,9MWM8,LNG Tanker,Tanker (HAZ-A),2017,133948,133948,290 / 49
INDIGO HOPE,Japan,7JVR,Bulk Carrier,Cargo ship,2013,132508,132508,330 / 57
TEMBEK,Marshall Islands,V7MX8,LNG Tanker,Tanker,2007,136410,136410,315 / 50
MSC SOLA,Panama,3FER7,Container Ship,Cargo ship,2008,131771,131771,364 / 46
IRON PILBARA,Liberia,D5FR4,Bulk Carrier,Cargo ship,2014,132587,132587,330 / 57
PARABURDOO,Panama,3FMF3,Bulk Carrier,Cargo ship,2013,132587,132587,330 / 57
COSTA DIADEMA,Italy,IBCX,Passenger (Cruise) Ship,Passenger ship,2014,133019,133019,306 / 37
HBIS,Liberia,D5HG2,Bulk Carrier,Cargo ship,2014,132588,132588,330 / 57
SERI CAMELLIA,Malaysia,9MVR8,LNG Tanker,Tanker,2016,133612,133612,290 / 46
CARNIVAL VISTA,Panama,3EMB9,Passenger (Cruise) Ship,Passenger ship,2016,133596,133596,323 / 37
CARNIVAL HORIZON,Panama,H3WI,Passenger (Cruise) Ship,Passenger ship,2018,133596,133596,324 / 37
SHANDONG REN HE,Hong Kong,VROJ3,Bulk Carrier,Cargo ship,2015,133867,133867,325 / 57
CARNIVAL PANORAMA,Panama,3FJB3,Passenger (Cruise) Ship,Passenger ship,2019,133868,133868,324 / 37
LNG SAKURA,Bahamas,C6DR7,LNG Tanker,Tanker,2018,135977,135977,300 / 49
SERI CAMAR,Malaysia,9MWT8,LNG Tanker,Tanker,2018,133948,133948,290 / 49
DISNEY FANTASY,Bahamas,C6ZL6,Passenger (Cruise) Ship,Passenger ship,2012,129750,129750,340 / 40
CMA CGM TITAN,Malta,9HA2146,Container Ship,Cargo ship (HAZ-A),2011,131332,131332,363 / 46
SERI CEMARA,Malaysia,9MYD8,LNG Tanker,Tanker,2018,133948,133948,290 / 49
CMA CGM CASSIOPEIA,Malta,9HA5007,Container Ship,Cargo ship (HAZ-A),2011,131332,131332,363 / 46
K.HOPE,Panama,3FHK9,Bulk Carrier,Cargo ship,2012,133647,133647,330 / 57
CMA CGM AQUILA,Malta,9HA5018,Container Ship,Cargo ship (HAZ-A),2009,131332,131332,363 / 46
CMA CGM CENTAURUS,Malta,9HA5020,Container Ship,Cargo ship (HAZ-D),2011,131332,131332,363 / 46
CELEBRITY EDGE,Malta,9HA4612,Passenger (Cruise) Ship,Passenger ship,2018,130818,130818,306 / 39
CMA CGM ANDROMEDA,Malta,9HA4989,Container Ship,Cargo ship (HAZ-A),2009,131332,131332,363 / 46
CELEBRITY APEX,Malta,9HA4960,Passenger (Cruise) Ship,Passenger ship,2020,130818,130818,306 / 39
CMA CGM LEO,Malta,9HA2057,Container Ship,Cargo ship,2010,131332,131332,363 / 46
CMA CGM GEMINI,Malta,9HA4974,Container Ship,Cargo ship (HAZ-A),2011,131332,131332,363 / 46
CMA CGM LIBRA,Malta,9HA2021,Container Ship,Cargo ship (HAZ-A),2009,131332,131332,363 / 46
CMA CGM COLUMBA,Malta,9HA5028,Container Ship,Cargo ship (HAZ-A),2011,131332,131332,363 / 46
VLADIMIR VIZE,Hong Kong,VRRV5,LNG Tanker,Tanker,2018,128806,128806,299 / 50
CMA CGM PEGASUS,Malta,9HA2126,Container Ship,Cargo ship (HAZ-A),2010,131332,131332,363 / 46
FEDOR LITKE,Cyprus,5BSS4,LNG Tanker,Tanker (HAZ-A),2017,128806,128806,299 / 50
CMA CGM LYRA,Malta,9HA4972,Container Ship,Cargo ship (HAZ-A),2011,131332,131332,363 / 46
GEORGIY BRUSILOV,Cyprus,5BSW4,LNG Tanker,Tanker,2018,128806,128806,299 / 50
APL SALALAH,Singapore,9V9400,Container Ship,Cargo ship (HAZ-A),2012,128929,128929,347 / 48
APL YANGSHAN,Singapore,9V9401,Container Ship,Cargo ship (HAZ-A),2012,128929,128929,347 / 45
MARVEL EAGLE,Panama,3EAK6,LNG Tanker,Tanker,2018,128917,128917,300 / 49
APL PARIS,Singapore,9V9403,Container Ship,Cargo ship (HAZ-A),2012,128929,128929,347 / 45
APL DUBLIN,Singapore,9V9404,Container Ship,Cargo ship (HAZ-A),2012,128929,128929,347 / 45
MARVEL PELICAN,Panama,3FUY7,LNG Tanker,Tanker,2019,128917,128917,300 / 49
APL BARCELONA,Singapore,9V9402,Container Ship,Cargo ship (HAZ-A),2012,128929,128929,347 / 45
NIKOLAY YEVGENOV,Bahamas,C6DB7,LNG Tanker,Tanker (HAZ-D),2019,128969,128969,299 / 50
GEORGIY USHAKOV,Bahamas,C6DB9,LNG Tanker,Tanker,2019,128969,128969,299 / 50
CYGNUS PASSAGE,Bahamas,C6WB7,LNG Tanker,Tanker (HAZ-A),2009,122444,122444,288 / 49
YAKOV GAKKEL,Bahamas,C6DC2,LNG Tanker,Tanker,2019,128969,128969,299 / 50
VLADIMIR VORONIN,Bahamas,C6DB8,LNG Tanker,Tanker (HAZ-D),2019,128969,128969,299 / 50
CHRIS. DE MARGERIE,Cyprus,5BNR4,LNG Tanker,Tanker,2016,128806,128806,299 / 50
NIKOLAY ZUBOV,Cyprus,5BBL5,LNG Tanker,Tanker,2019,122806,122806,299 / 50
NGOMA FPSO,Bahamas,C6OO4,Offshore Support Vessel,Tanker,1974,125027,125027,366 / 52
PACIFIC ARCADIA,Bahamas,C6ZY6,LNG Tanker,Tanker,2014,123005,123005,288 / 49
BORIS DAVYDOV,Cyprus,5BBK5,LNG Tanker,Tanker (HAZ-B),2018,122806,122806,299 / 50
ATAGOSAN,Panama,3FAN6,Bulk Carrier,Cargo ship,2019,123088,123088,320 / 55
APL SOUTHAMPTON,Singapore,9V9399,Container Ship,Cargo ship (HAZ-D),2012,128929,128929,347 / 48
AIDAPRIMA,Italy,IBGU,Passenger (Cruise) Ship,Passenger ship,2016,125572,125572,300 / 38
AIDAPERLA,Italy,IBRL,Passenger (Cruise) Ship,Passenger ship,2017,125572,125572,300 / 38
CASTILLO DE MERIDA,Malta,9HA4686,LNG Tanker,Tanker,2018,126004,126004,287 / 49
LNG FUKUROKUJU,Bahamas,C6BU3,LNG Tanker,Tanker,2016,127242,127242,293 / 49
CAP SAN ARTEMISSIO,Panama,3EQA4,Container Ship,Cargo ship,2014,119441,119441,333 / 48
CAP SAN MALEAS,Panama,3FSS8,Container Ship,Cargo ship,2014,119441,119441,333 / 48
CARNIVAL DREAM,Panama,3ETA7,Passenger (Cruise) Ship,Passenger ship,2009,128251,128251,305 / 27
CARNIVAL BREEZE,Panama,3FZO8,Passenger (Cruise) Ship,Passenger ship,2012,128052,128052,306 / 37
CARNIVAL MAGIC,Panama,3ETA 8,Passenger (Cruise) Ship,Passenger ship,2011,128048,128048,305 / 37
CELEBRITY REFLECTION,Malta,9HA3047,Passenger (Cruise) Ship,Passenger ship,2012,125366,125366,319 / 37
LNG SCHNEEWEISSCHEN,Panama,3EPT9,LNG Tanker,Tanker,2018,119660,119660,298 / 48
GASLOG WARSAW,Greece,SVDE9,LNG Tanker,Tanker,2019,120859,120859,297 / 47
GRAND MEREYA,Cyprus,5BCP2,LNG Tanker,Tanker (HAZ-A),2008,120525,120525,290 / 49
ENERGY CONFIDENCE,Japan,7JDQ,LNG Tanker,Tanker (HAZ-A),2009,121413,121413,290 / 49
LNG JUPITER,Bahamas,C6XQ5,LNG Tanker,Tanker (HAZ-A),2009,121675,121675,290 / 49
ARCTIC PRINCESS,Norway,LAGE6,LNG Tanker,Tanker,2006,121597,121597,288 / 49
ARCTIC LADY,Norway,LAGF6,LNG Tanker,Tanker (HAZ-D),2006,121597,121597,288 / 49
ENERGY GLORY,Japan,7JZD,LNG Tanker,Tanker,2019,121981,121981,300 / 49
ENERGY LIBERTY,Japan,7JXP,LNG Tanker,Tanker (HAZ-D),2018,121982,121982,300 / 49
CELEBRITY SOLSTICE,Malta,9HRJ9,Passenger (Cruise) Ship,Passenger ship,2008,121878,121878,317 / 37
LNG BARKA,Bahamas,C6WO8,LNG Tanker,Tanker,2008,121514,121514,290 / 49
CELEBRITY ECLIPSE,Malta,9HXC9,Passenger (Cruise) Ship,Passenger ship,2010,121878,121878,317 / 37
ALTO ACRUX,Bahamas,C6WG2,LNG Tanker,Tanker (HAZ-A),2008,122361,122361,288 / 49
CELEBRITY EQUINOX,Malta,9HXD9,Passenger (Cruise) Ship,Passenger ship,2009,121878,121878,317 / 37
PRISM BRILLIANCE,Panama,3FXT5,LNG Tanker,Tanker,2019,122166,122166,299 / 48
ENERGY UNIVERSE,Panama,3ETV9,LNG Tanker,Tanker (HAZ-B),2019,122142,122142,300 / 49
CELEBRITY SILHOUETTE,Malta,9HA2583,Passenger (Cruise) Ship,Passenger ship,2011,122210,122210,315 / 37
CARTAGENA EXPRESS,Germany,DJQB2,Container Ship,Cargo ship,2017,118945,118945,333 / 48
CAP SAN TAINARO,Panama,3EOT8,Container Ship,Cargo ship,2014,119441,119441,333 / 48
CMA CGM MUSCA,Bahamas,C6EK7,Container Ship,Cargo ship,2009,128600,128600,347 / 45
TAITAR NO.3,Panama,3FMD5,LNG Tanker,Tanker,2010,118634,118634,290 / 49
ADRIANO KNUTSEN,Spain,EBRY,LNG Tanker,Tanker,2019,122261,122261,299 / 48
TAITAR NO.1,Panama,3FJB7,LNG Tanker,Tanker,2009,118634,118634,290 / 49
LNG DREAM,Bahamas,C6VO5,LNG Tanker,Tanker,2006,118876,118876,290 / 49
CAP SAN LORENZO,Denmark,OXOF2,Container Ship,Cargo ship,2013,118938,118938,333 / 48
ENERGY NAVIGATOR,Japan,7JCK,LNG Tanker,Tanker,2008,118842,118842,290 / 49
TAITAR NO.4,Panama,3EXA9,LNG Tanker,Tanker,2010,118634,118634,290 / 49
