User_Name,Rating,Rating_Title,Reviewed_Date,Review_Context,Helpful_Count
Bhushan,4.0 out of 5 stars,Mid Range Beast | Flagship Gaming Experience,Reviewed in India on 7 November 2019,"<span>Read this review, if Planning to buy Redmi Note 8 Pro.<br><br>Bought Redmi Note 8 Pro in first sale, using it extensively, pretty satisfied with overall experience so far.<br><br>Battery: 5/5<br>Performance: 5/5<br>Display: 4/5<br>Camera: 5/5<br><br>#Pro's:<br>1. Superb Gaming performance<br>2. Multitasking is smooth.<br>3. Liquid cooling system which cools down your device &amp; device doesn't get heated even while gaming.<br>4. Amazing camera.<br>5. Alexa support, which is first time available on any mobile.<br>6. Dedicated SD card slot.<br>7. P2i coating to save device from water splashes.<br>8. Gorilla glass 5 on front as well as on back.<br>9. 18 watt charger inside box.<br>10. IR Blaster.<br>11. Notification led.<br>12. Headphone jack is still there.<br>13. Fingerprint sensor is placed little too high but it faster than usual in display fingerprint sensors.<br><br>#Con's:<br>1. No AMOLED display.  :(<br>2. No in-display fingerprint sensor.<br>3. Mediatek processor: If you are advance user &amp; into rooting, customization, then only it will affect you. Otherwise, no need to worry.<br><br>@PERFORMANCE:<br>- Note 8 Pro comes with Helio G90T mediatek cheapset which having mediatek hyper engine that is well optimized for gaming, also it offers Game Turbo mode. So, gaming experience is best on this device.<br>Tried PUBG, COD in high settings, it was lag free without any frame drops.<br>- In Antutu Benchmark test, Helio G90T scores much better than Snapdragon 712.<br><br>@BATTERY:<br>- 4500 mAh of Battery gets fully charged in approx 2 hrs with 18 w charger (which comes inside box), with moderate usage, it easily lasts for more than a day.<br><br>@CAMERA:<br>- 64 MP Quad cam captures amazing portraits. It also offers Ultra wide, macro lens, night mode.<br>Even in low light/night conditions, it clicks above average pics.<br>- With 20 MP Front camera, Selfies looks beautiful, we can control background blurness manually.<br>- In video recording, it can shoot 4k video recording. It also provides 960fps Slo-mo recording feature.<br><br>VERDICT:<br>Overall, Redmi Note 8 Pro is best device in 15k price segment offering many features which competitors don't offer. If your main priority is Gaming, Performance, Camera then definitely go for Redmi Note 8.<br>Or<br>If AMOLED Display, in display fingerprint sensor is your priority then go for Realme XT.<br><br>Will update review after using few more weeks.</span>",67 people found this helpful
Krishna,1.0 out of 5 stars,Hanging waste mediatek won't buy,Reviewed in India on 6 November 2019,"<span><div id=""video-block-RC38M72W5W8TD"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/A1XFf38h8bS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/71awJZC4hjS.png"" class=""video-slate-img-url""> Waste product don't buy got hanged on 2nd day and I replaced it on checking done by Amazon technician but replaced product doest not worked properly I rebooted it and started working better and heating issues also</span>",
Pranjal,5.0 out of 5 stars,Fantastico,Reviewed in India on 7 November 2019,"<span>Well you need to wait for this product :) bought on sale October second sale, a premium phone in this range</span>",
Afzal,3.0 out of 5 stars,Good Phone with nice camera and specs! But No support for Data Transfer,Reviewed in India on 6 November 2019,"<span>Glad to be the first one to write a review for this phone! The Picture clarity in the Rear Camera is very detailed with proper light effects in case of LOW / VERY Low Light, the 64MP Option should be used when you have no worry about storage space and you know that every single Photo that you will take using this option will be 10MB+ going up to 25MB depending on the details captured in the image.<br>The Front Camera of 20MP is also very stable and takes good images.<br>It is nice to say that Redmi does not apply any default BEAUTIFICATION effect to your photos just like REALME does!<br><br>Actually, I had purchased this phone to replace my iPhone 6s, however, I was totally dissatisfied as there is No software for any data transfer between iPhone and Redmi for that matter Redmi phones do not have any INBUILT application for data transfer from Android to Android or iOS to Android which is why the rating is reduced by 2 Points. It seems to me that Redmi has manufactured and thought of mobile phones for FIRST TIME BUYERS only! So this issue is not addressed, and maybe it can be looked into if they want to! In comparison, if you check for M30s from Samsung (similar specs and price), you get a default option of moving your data including SMS, Contacts, Photos etc without any problems from iOS or Android!<br><br>About the return option and contacting Amazon / Redmi, the Customer Care at Amazon are absolutely clueless and will not say a word about the purchase, will simply ask you to contact the customer care of Apple OR Redmi (whatever are the 2 phones that you have - Old and New), the Redmi Customer Care person will say you can download the apps called XANDER etc, which are of no use and third-party apps which won't help at all in any transfer of data.<br><br>Please note that though AMAZON may mention RETURN POSSIBLE UP TO __ NOV 2019, actually you cannot return the phone unless the phone is received in a PHYSICALLY DAMAGED condition which would have to be proved to Amazon by sending the Photos to them and if they think it is genuine, else RETURN IS NOT POSSIBLE!!!<br><br>All in all a good phone for first-time buyers (considering the camera specs and price point), but a clear NO for migration! Also if you don't want to keep the phone or you are thinking that you will buy, check, decide and return then please note that it doesn't work!</span>",
Gaman,5.0 out of 5 stars,True game changer Nd market gainer,Reviewed in India on 8 November 2019,<span># Mi love ..... Tremendous phone....killer phone.... performance is above expectations .....Gamma green colour give feel of premium phone and it glass protection is awesome....main night light is its camera it 64mp camera it really awesome .....it's true game Changer Nd value for money and last features of that but not least it 18w fast charger Nd 4500 massive battery ...</span>,
TECHBORED! Himanshu Chatra,5.0 out of 5 stars,"BEST PERFORMANCE, BATTERY AND CAMERA IN BUDGET!",Reviewed in India on 26 November 2019,"<span>REDMI LOVERS THIS IS THE NEW PRO FOR YOU THATS AMAZING.<br><br>HEY EVERYONE THIS IS TECHBORED! AND LETS GET STARTED WITH REVIEW OF REDMI NOTE 8 PRO.<br><br>===================<br>IN THE BOX<br>===================<br>1. Mobile Phone<br>2. USB type C data cable.<br>3. Sim tray ejector pin.<br>4. Transparent flexible TPU case.<br>5. Manuals<br>6. 18W Fast Charging Travel adaptor.<br><br>==========================<br>PROS OF THE DEVICE<br>==========================<br>1. Compact design. One hand usage is not a problem and this device feels good in hands.<br><br>2. Display is the best part of this device. You get HDR supporting 6.53 FULL HD display with 2340 x 1080 pixels resolution and outdoors visibility of display under the sunlight is not a problem and in protection you get GORILLA GLASS 5 on both back and front is just great.<br><br>3. This device sports huge 4500Mah battery which supports 18W Quick charger in the box.<br><br>4. In the performance it is one of the best processor that it is powered with Helio G90T gaming processor. It also some with liquid cooling technology.<br><br>5. In memory field this device does not lacks behind, I has huge 6GB RAM and 128GB internal storage and still has dedicated microSD card support up to 512Gigs.<br><br>6. In rear there are 4 cameras 64MP, ultra-wide lens, macro lens performs very nice. Also in low light this camera is just great. for selfies it has 20MP camera that also is good.<br><br>7. In sensors it has Rear Fingerprint sensor, Gyro sensor, Geo magnetic sensor and many more are present . So almost every important sensor is available.<br><br>8. This device is a dual sim and supports DUAL VOLTE that means on both SIM slots VOLTE can be used at same time.<br><br>9. This is one of the best smartphone at this price that you can buy just now in market.<br><br>=================================<br>CONS OF THIS DEVICE<br>=================================<br><br>Till now I was not able to find any issue with this device. There was little issue in heating that I think was fixed via OTA update.<br><br>SO THIS WAS THE REVIEW. I HOPE YOU LIKED IT. FEEL FREE TO CHECK OUT MY PROFILE FOR MORE REVIEWS.</span>",
Amol PULGAMKAR,1.0 out of 5 stars,NFC feature missing in phone,Reviewed in India on 7 November 2019,<span>NFC feature is missing from phone even in specifications they have mentioned it</span>,
Biswajit,1.0 out of 5 stars,Battery not good in Youtube video watching.,Reviewed in India on 6 November 2019,<span>If u like to play PUBG in better display and Watch You Tube video then dont buy this product....its battery drain too fast. I am using this since 2nd november and I am facing this kind of problems. My previous phone was much better than this in battery comparison. That was Realme 2 pro.</span>,54 people found this helpful
Yukesh Velusamy,5.0 out of 5 stars,Great phone,Reviewed in India on 6 November 2019,"<span>Hi,<br><br> this is the update  for the below review... Now it it great guys i have uninstalled some in wanted apps after that i am mot getting ads great phone go ahead and buy it...<br><br>Hi ,<br><br>Phone is great but so many ads .... It is too annoying... redmi why did you do this to your customers this is a PRO varient mobile and your are throwing in so many ads ... Some of them are not closable we have to close the app or minimize it to get rid of it... Please fix it.. i am giving 2 only because of ads... Funny part it while I try to submit the review i got a full page blocking ad man ... Let me go to rating 1</span>",45 people found this helpful
Dr. Sumit,1.0 out of 5 stars,Total Crap. ..,Reviewed in India on 8 November 2019,"<span>Well, I was waiting long for this mobile, but when I received it my dreams were shattered. On the very first sale in bought this mobile. When I removed the tampered  (plastic covering screen ) there were scratches on the screen. I wonder what happened to the control check of xiaomi? How can they so carelessly sell the mobile without proper inspection? This reflects how customer oriented they are! About the phone functioning I cannot comment any thing as I did not use it more than 20 minutes . But one thing is for sure, if things are sold without proper  inspection and quality check, what being a customer we receive is going to be a ""CRAP"".</span>",45 people found this helpful
Abhijeet Petewar,1.0 out of 5 stars,Sensor problem in this phone .... Don't buy,Reviewed in India on 16 November 2019,<span>Guys don't buy this phone...it's has sensor problems...when u received call it's automatically locked and can't open till call is not cut ....I want to give 0 star for it ....</span>,47 people found this helpful
Sushant,5.0 out of 5 stars,Killer phone at this price for performance and gaming,Reviewed in India on 7 November 2019,"<span>It is the best option to buy a gaming mobile at this price range. Visit my YouTube channel ""Indian Tech Helper"" for mobile related videos.<br>Pros:<br>Everything is good given on product page.<br>Cons:<br>Battery drains little bit faster.<br>Camera has to be improved.<br>Camera bump is more.<br>A case with Camera protection is recommended.<br>By the way these all are minor cons. Some may fixed by updates.<br>If you ask me then I recommend you to buy without any problem.</span>",
Abhinandan mahajan,5.0 out of 5 stars,Great Quality and Great Value phone at this price,Reviewed in India on 13 November 2019,"<span>This phone is  heaven for all type of mobile user  all feature its have.<br>This phone have Quad camera setup 64MP AI Quad rear camera with portrait, ultra-wide lens, macro lens. &amp; the front camera 20MP<br>Excellent Gaming experience with powerful Helio G90T gaming processor, Game turbo &amp; Liquid cooling technology. I usually play PUBG. ITS works smoothly i really love this phone.<br>The screen size is 6.53-inch. The water drop Dot Notch HDR Display  and 19.5:9 aspect ratio &amp; 2.5D curved glass.<br>The main feature of this phone is that its come with Amazon Alexa built-in: Say “Alexa” to play music, hear the news and etc u can do with Alexa.<br>I bought 6GB RAM,128GB  two another varient also available.  The internal memory expandable up to 512GB.<br>Phone supports Dual 4g standby &amp; dual sim  both nano<br>Android Pie v9 operating system &amp; 2.05GHz MediaTek Helio G90T octa core  high quality processor<br>4500mAH  battery providing talk-time of 41 hours &amp; standby time of 666 hours. 18W fast charger comes with in box<br> Phone comes with 1 year manufacturer warranty for device<br>Box includes : Power adapter, USB cable, SIM eject tool, warranty card, user guide and clear soft case</span>",41 people found this helpful
Abhishek P.,5.0 out of 5 stars,The perfect value for money,Reviewed in India on 11 November 2019,"<span>Been using the phone for 2 weeks and it's safe to say that it's worth your money. Performance being the strong point is top notch..no complaints here. Even the display being IPS is great too.Design is sleek and premium unlike previous redmi phones. For the temps it definitely heats (which the the primary concern since the day it was announced)...but its not an issue,definitely not...at least not in my unit and it is cool and stable when not gaming. What my concern was it's battery ,maybe the g90t is power hungry and 4500mah lasts almost a day..I wished it to last for the next half too. I hope redmi fix in an ota update 🤞, the 18watt charger comes as a life saver here, it was a must and thanks redmi for providing it in the box.<br>....will update this review in the future after long term use....<br>Is this phone worth your money 💰-YES...</span>",
Anukram solanki,1.0 out of 5 stars,Over heating,Reviewed in India on 9 November 2019,<span>So bad. First time i am using Redmi phone. I bought it for gaming but it heated alote when i am playing any game on this phone . Battery backup is also not good. Camara quality is average. I am totally disappointed with this product.</span>,44 people found this helpful
TRIBHUVAN SONI,2.0 out of 5 stars,Not as Expected,Reviewed in India on 7 November 2019,<span>I think I received defective product.. issue in camera focusing. I posted some photos. You can see images that are going blurry on edges. Alexa also not working.<br>Read my Full review --<br><br>Other Things Are good. Processing is best. Front Camera is good not best. Wide angle camera quality is not expected. Macro shots are good. Call qualily also very good and speaker sound is ok.<br>Display Quality is Great.<br>Fingerprint senser is very responsive and Very Fast. Face unlock is ok.. not secure<br><br>Gaming Performance is also very good. i played PubG without any lags. Little heating issues found.<br><br>It is taking 2 hours for full charging. It will give one day battery backup easily.</span>,
santhosh,4.0 out of 5 stars,Good mobile but not the best.,Reviewed in India on 13 November 2019,"<span>Best mobile you can get under 18k segment. It has a beautiful display, great processer, above average camera, average battery even though it has 4500mAh battery it's not up to the mark  but charging speed is very good. And they create hype Abou Alexa it's not worked properly on my mobile so i deleted it. I'm using Google voice assistance. overall it's above average mobile for me</span>",36 people found this helpful
Nishant Kumar,2.0 out of 5 stars,NOT SATISFIED,Reviewed in India on 10 November 2019,<span>I researched almost a past 2 months and I came to know that this phone has some powerful processor... Which was highlighted features of Xiaomi.. Even i came to know about heating issues about this phone which was highlighted by reviewers on YouTube.. although this phone heats a lots .. without playing any single game because i am person who usually don't likes to play games on phones ..after a normal or light use this phone allows heating issue ..and infact at a certain point of time this phone also have lacking problem which is so disappointing for me ... Because the claims about terrific performance of this phone .. it heats upto 49°C while using camera in witer season and i think you guys have enough thinking skills to predict what will happen in summer season...</span>,37 people found this helpful
Hemang Makwana,4.0 out of 5 stars,Budget smartphone @15k,Reviewed in India on 6 November 2019,"<span>Budget smartphone:<br>Pros.<br>1. Great camera features (64 MP).<br>2. Stylish design<br>3. Best features at just 15k.<br>4. Battery- without game one full day, with game half day.<br>5. Alexa inbuilt<br><br>Cons.<br>1. Confusing settings<br>2. Selfie camera is ok, ok.. not satisfied<br>3. Heating during charging<br>4. Security perspective not satisfied ( they hides our logged in details and then we have to find the account and log it out).<br>5. Simple Display ( not amoled )<br>6. Google features are lacking<br> i.e no direct shortcut for google, Gmail search ( problem in multiple mail logins ).<br><br>4 star for 64 MP camera...</span>",35 people found this helpful
Rajesh,1.0 out of 5 stars,Heating up problem. Mediatech processor.,Reviewed in India on 7 November 2019,<span>Phone get heated up in simple 30/40 minutes of simple game playing. It seems  Xiaomi has compromised in this segment  by lowering the price in comparision with realme XT. I highly recommend not to buy the phone if you can't tolerate the heating issue. Sometimes it's temperature go beyond 50 degree Celsius. This is the major draw back of redmi note 8 pro. Those who like to play game should remain away from this phone. Claim of Xiaomi is not upto the mark. Rest is ok.  Its upto you.</span>,
Navdeep khatri,4.0 out of 5 stars,In this price rate this phone is the best,Reviewed in India on 6 November 2019,<span>Battery 5/5<br>Camera 3.5/5 not good as realme xt colour correction is not so good<br>Screen 5/5<br>Charging time 4/5<br>Audio 4/5<br>Gaming experience 4.5/5<br>Allover performance 4.33/5</span>,
Amazon Customer,1.0 out of 5 stars,Poor quality,Reviewed in India on 5 December 2019,<span>Poor colour display. Bottom left image is of Redmi 8 pro.</span>,
milind,5.0 out of 5 stars,"Worth deal for 18k (8gb, 128gb)",Reviewed in India on 1 December 2019,"<span>Configuration of this phone is very good that's the only reason I purchased this one. If you wish to save your money go for it.<br>Android OS phones work well for max 2-3 years after that it you will experience same lagging issues and buy new phone.<br>Touch is very good. No issues.<br>Camera is enough to show true colors. If you are expecting DSLR quality then buy Camera not phone.<br>No heating issues as of now for normal usage (calls, songs, WhatsApp, FB, you tube, office mails, Skype). Not everyone is hardcore gamers.<br>Check reviews from hardcore gamers for pubg etc...<br>Overall good phone at 18k (8gb, 128gb) than spending 35k++ for same configuration.</span>",30 people found this helpful
Rajkumar,1.0 out of 5 stars,Bad product bought ever,Reviewed in India on 6 November 2019,"<span>Very bad product....hotspot is not working....no effect of liquid cooling,played game for 20 min and mobile start heating near camera...miui brings its own new features makes it less user friendly...camera is ok ok in this range and also u cannot zoom or record video in 64MP camera mode</span>",32 people found this helpful
paramesh,2.0 out of 5 stars,Camera quality very bad. Improve  camera quality,Reviewed in India on 8 November 2019,<span>Rear and front Camera quality very bad this is not 64megapixels  just 4.<br>Any one looking for camera quality my suggestion is go with vivo mobiles</span>,33 people found this helpful
Suresh Shenoy,4.0 out of 5 stars,Superb Phone but ....,Reviewed in India on 6 November 2019,"<span>The product has an inherent defective SIM card tray . Simcard 1 slot. Changed my phone today to discover the same defect with that too. The phone is terrific ,and I wouldn't mind a replacement ,can wait till the problem is addressed . I would have gone with 5 stars .</span>",30 people found this helpful
